Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/25/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Mozambique,MOZ,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.037084217,5.563000824,5.441253757,5.737668563,5.38812444,4.311346231,3.989565477,4.554699086,3.66810398,3.79219253,3.573169011,,,,,,,,,,,
Mozambique,MOZ,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143000,7300,130000,22000,10000,186000,21000,61000,7000,170000,31000,506000,48000,44000,113000
Mozambique,MOZ,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,55.72139359,,52.73631668,,50.74626923,55.72139359,56.25,58.17307663,50.96154022,50.96154022,50.48077011,50.23696518,48.81516647,48.35680771,48.82629013,45.53990555,47.29064178,44.82758713,39.40886688,37.93103409,36.231884,34.29951859,34.78260803,34.29951859,
Mozambique,MOZ,Voice and Accountability: Estimate,VA.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28148526,,-0.16156669,,-0.218968794,,-0.218986437,-0.03117167,-0.033941474,0.008335303,-0.086383142,-0.081787363,-0.072742447,-0.114246525,-0.120654635,-0.199520618,-0.197661281,-0.256315291,-0.246708766,-0.270693123,-0.416637808,-0.421920419,-0.493539125,-0.544109583,-0.599389493,-0.612543762,
Mozambique,MOZ,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104748498,82425059,44098229,31400311,12215177,32198907,27220074,4329718,2250359,,
Mozambique,MOZ,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,4.278922345,5.966587112,13.98701647,16.04554865,19.33649289,20.59645853,19.60608774,23.09505106,15.34944481,17.23431698,13.29534897,17.07991745,13.75756012,15.11768242,15.90733021,14.2002212,,10.81393275,,,,12.30686408,16.25879974,9.023597643,5.157008324,1.370141269,5.031660268,3.473607501,1.830853083,5.10160171,2.959981839,18.86443666,19.73123783,17.72076839,29.15200457,30.07315184,26.46031086,30.36511167,44.42174091,45.09225092,36.02219059,22.55344974,25.54098036,24.77174937,19.22184715,22.43366581,20.17487234,22.5474259,13.68421743,28.33946331,26.26481592,22.88784838,24.23339942,28.335261,25.13293194,25.33577782,26.28527297,21.91307527,20.85621841,23.52265317,24.17383208,,
Mozambique,MOZ,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,,14.43914081,9.673546928,14.59627329,16.77725118,14.63187325,13.60787825,12.0188531,,0.000708677,,0.020699129,6.192564566,3.08401434,5.848204255,5.124462782,,2.434278361,,,,0.057577319,0.008510085,,0.106308101,0.006672683,0.077259662,0.015484116,0.057488076,1.024653765,0.260003844,3.396980109,,5.256728687,7.072391841,2.600763074,11.98193576,5.914932598,8.786268901,11.88191882,5.01191711,0.524533347,2.139425419,0.47731885,2.541369165,1.542213576,1.530689441,0.808651298,0.844564044,2.653039024,1.44509959,2.477677461,4.921307102,17.12151436,8.625762596,10.23346662,20.31530722,34.51456718,27.66980332,17.49207007,22.28663556,,
Mozambique,MOZ,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,,,,,0.853080569,,,,,,0.007399551,0.048925213,0.059047783,0.093077111,0.334029788,2.228664064,,2.414121915,,,,10.8331726,10.91909367,17.82316381,15.71033777,15.84785914,18.03617109,26.17160785,33.80559242,29.57146106,23.1835233,0.522612324,,0.076184474,0.496308199,0.990848848,1.49945595,1.120252386,0.81732734,1.143911439,1.773207186,0.396589014,1.155837143,1.186476369,2.366021122,2.940558507,2.547179233,2.469946188,1.909544943,4.512357034,5.220882243,9.376402919,19.09633739,4.621013296,5.669512386,3.899339806,5.543705414,6.155990899,6.643137433,9.289684145,11.08059095,,
Mozambique,MOZ,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,0.158478605,0.477326969,0.466195033,0.621118012,0.758293839,,0.447627574,0.942655145,,0.015590895,0.327224593,0.22016346,0.4127612,0.378543276,3.265510083,3.835140472,,0.471350714,,,,3.117811831,3.237105409,11.58693969,7.026528581,2.041790741,3.515074987,1.198473537,0.655679734,0.597971009,0.565449866,,,,0.062038525,0.07745489,0.002653904,0.268860573,0.531262771,0.184501845,0.071743136,0.165339575,0.071711428,0.046747453,0.050713267,0.114688024,0.147943221,0.372217731,0.346757645,0.734589358,0.592700945,0.378472673,0.395262776,1.653548266,3.625263001,1.717804229,0.973945051,1.501494248,2.134945918,1.955566121,2.699115025,,
Mozambique,MOZ,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225655426,0.016639654,0.139758975,0.175928244,0.399179244,0.107071215,0.061345622,0.08331221,0.115359158,0.237307912,0.114164483,0.018867307,0.006183809,0.108762641,0.034702117,0.094785267,0.120261474,0.041467721,0.462482171,0.02501704,0.021153151,0.024840513,
Mozambique,MOZ,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,119.9466565,132.4266555,113.0133238,109.5466574,96.3733252,97.06665848,110.2399907,121.3333231,119.2533233,115.7866569,116.4799902,123.4133229,97.06665848,90.826659,92.21332555,98.45332503,79.03999333,81.11999316,77.65332678,78.34666006,69.33332748,65.00134159,61.43138734,66.56063008,78.15882734,88.3751936,109.3016013,114.1113816,129.2636206,99.60150018,120.9182238,137.8459454,126.8654883,120.4489386,119.0473241,100,96.00754877,118.0505108,130.9984849,118.0362605,107.6662178,178.7115562,
Mozambique,MOZ,Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.06166411,24.92508374,21.94371922,22.68594155,21.46745428,18.39407198,10.42095398,4.19224286,6.252812302,6.974146794,7.526022978,7.946595248,6.821881474,3.080473733,3.490459755,3.376193738,5.157049838,5.521772125
Mozambique,MOZ,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,69.08462867,69.17098446,72.19343696,54.92227979,46.63212435,36.6148532,46.89119171,55.44041451,63.55785838,69.77547496,75.82037997,77.63385147,73.83419689,82.46977547,87.99654577,60.79447323,65.54404145,63.81692573,68.22107081,98.35924007,100,91.79620035,133.2469775,151.3816926,175.7056995,207.9615717,247.7786701,263.3632124,346.0935233,325.0610535,397.2366149,545.0914508,750.2564767,872.1070812,755.3386874,719.7082038,449.5842832,496.1483592,599.6696891,641.4345423,558.8057043,,
